year,state,state_po,state_fips,candidatevotes,democratic_pct,democratic_pct_ave_1976_2024
2024,ALABAMA,AL,1,772412,34.6,41.7
2024,ALASKA,AK,2,140026,43.2,38.7
2024,ARIZONA,AZ,4,1582860,47.2,44.1
2024,ARKANSAS,AR,5,396905,34.3,45.5
2024,CALIFORNIA,CA,6,9276179,60.4,55.5
2024,COLORADO,CO,8,1728159,55.6,48.4
2024,CONNECTICUT,CT,9,992053,57.4,54.0
2024,DELAWARE,DE,10,289758,57.5,54.2
2024,DISTRICT OF COLUMBIA,DC,11,294185,93.3,90.0
2024,FLORIDA,FL,12,4683038,43.4,46.9
2024,GEORGIA,GA,13,2548017,48.9,48.4
2024,HAWAII,HI,15,313044,61.8,59.7
2024,IDAHO,ID,16,274972,31.2,33.6
2024,ILLINOIS,IL,17,3062863,55.6,54.7
2024,INDIANA,IN,18,1163603,40.3,42.8
2024,IOWA,IA,19,707278,43.3,49.6
2024,KANSAS,KS,20,544853,41.8,40.5
2024,KENTUCKY,KY,21,704043,34.5,42.9
2024,LOUISIANA,LA,22,766870,38.8,44.8
2024,MAINE,ME,23,435652,53.5,52.6
2024,MARYLAND,MD,24,1902577,64.8,58.0
2024,MASSACHUSETTS,MA,25,2126518,63.0,60.7
2024,MICHIGAN,MI,26,2736533,49.3,50.8
2024,MINNESOTA,MN,27,1656979,52.2,53.7
2024,MISSISSIPPI,MS,28,466668,38.4,43.1
2024,MISSOURI,MO,29,1200599,40.7,46.9
2024,MONTANA,MT,30,231906,39.7,42.8
2024,NEBRASKA,NE,31,369995,39.6,36.9
2024,NEVADA,NV,32,705197,48.4,46.9
2024,NEW HAMPSHIRE,NH,33,418488,51.4,47.3
2024,NEW JERSEY,NJ,34,2220713,53.0,52.5
2024,NEW MEXICO,NM,35,478802,53.1,50.8
2024,NEW YORK,NY,36,4619195,56.3,58.0
2024,NORTH CAROLINA,NC,37,2715375,48.4,47.2
2024,NORTH DAKOTA,ND,38,112327,31.3,37.9
2024,OHIO,OH,39,2533699,44.3,47.8
2024,OKLAHOMA,OK,40,499599,32.5,37.4
2024,OREGON,OR,41,1240600,57.4,53.1
2024,PENNSYLVANIA,PA,42,3423042,49.1,51.1
2024,RHODE ISLAND,RI,44,285156,57.1,59.8
2024,SOUTH CAROLINA,SC,45,1028452,40.9,44.2
2024,SOUTH DAKOTA,SD,46,146859,35.1,41.0
2024,TENNESSEE,TN,47,1056265,34.9,44.3
2024,TEXAS,TX,48,4835250,43.1,43.7
2024,UTAH,UT,49,562566,38.9,32.3
2024,VERMONT,VT,50,235791,66.4,58.1
2024,VIRGINIA,VA,51,2333778,52.9,48.0
2024,WASHINGTON,WA,53,2245849,59.5,53.9
2024,WEST VIRGINIA,WV,54,214309,28.7,44.6
2024,WISCONSIN,WI,55,1668229,49.6,51.1
2024,WYOMING,WY,56,69527,26.5,32.8
2020,ALABAMA,AL,1,849624,37.1,41.7
2020,ALASKA,AK,2,153778,44.7,38.7
2020,ARIZONA,AZ,4,1672143,50.2,44.1
2020,ARKANSAS,AR,5,423932,35.8,45.5
2020,CALIFORNIA,CA,6,11110250,64.9,55.5
2020,COLORADO,CO,8,1804352,56.9,48.4
2020,CONNECTICUT,CT,9,1080831,60.2,54.0
2020,DELAWARE,DE,10,296268,59.6,54.2
2020,DISTRICT OF COLUMBIA,DC,11,317323,94.5,90.0
2020,FLORIDA,FL,12,5297045,48.3,46.9
2020,GEORGIA,GA,13,2473633,50.1,48.4
2020,HAWAII,HI,15,366130,65.0,59.7
2020,IDAHO,ID,16,287021,34.1,33.6
2020,ILLINOIS,IL,17,3471915,58.7,54.7
2020,INDIANA,IN,18,1242416,41.8,42.8
2020,IOWA,IA,19,759061,45.8,49.6
2020,KANSAS,KS,20,570323,42.5,40.5
2020,KENTUCKY,KY,21,772474,36.8,42.9
2020,LOUISIANA,LA,22,856034,40.5,44.8
2020,MAINE,ME,23,435072,54.7,52.6
2020,MARYLAND,MD,24,1985023,67.0,58.0
2020,MASSACHUSETTS,MA,25,2382202,67.1,60.7
2020,MICHIGAN,MI,26,2804040,51.4,50.8
2020,MINNESOTA,MN,27,1717077,53.6,53.7
2020,MISSISSIPPI,MS,28,539398,41.6,43.1
2020,MISSOURI,MO,29,1253014,42.2,46.9
2020,MONTANA,MT,30,244786,41.6,42.8
2020,NEBRASKA,NE,31,374583,40.2,36.9
2020,NEVADA,NV,32,703486,51.2,46.9
2020,NEW HAMPSHIRE,NH,33,424921,53.7,47.3
2020,NEW JERSEY,NJ,34,2608335,58.1,52.5
2020,NEW MEXICO,NM,35,501614,55.5,50.8
2020,NEW YORK,NY,36,5230985,61.7,58.0
2020,NORTH CAROLINA,NC,37,2684292,49.3,47.2
2020,NORTH DAKOTA,ND,38,114902,32.8,37.9
2020,OHIO,OH,39,2679165,45.9,47.8
2020,OKLAHOMA,OK,40,503890,33.1,37.4
2020,OREGON,OR,41,1340383,58.3,53.1
2020,PENNSYLVANIA,PA,42,3458229,50.6,51.1
2020,RHODE ISLAND,RI,44,307486,60.6,59.8
2020,SOUTH CAROLINA,SC,45,1091541,44.1,44.2
2020,SOUTH DAKOTA,SD,46,150471,36.6,41.0
2020,TENNESSEE,TN,47,1143711,38.2,44.3
2020,TEXAS,TX,48,5259126,47.2,43.7
2020,UTAH,UT,49,560282,39.3,32.3
2020,VERMONT,VT,50,242820,68.3,58.1
2020,VIRGINIA,VA,51,2413568,55.2,48.0
2020,WASHINGTON,WA,53,2369612,59.9,53.9
2020,WEST VIRGINIA,WV,54,235984,30.2,44.6
2020,WISCONSIN,WI,55,1630866,50.3,51.1
2020,WYOMING,WY,56,73491,27.5,32.8
2016,ALABAMA,AL,1,729547,35.6,41.7
2016,ALASKA,AK,2,116454,41.6,38.7
2016,ARIZONA,AZ,4,1161167,48.1,44.1
2016,ARKANSAS,AR,5,380494,35.7,45.5
2016,CALIFORNIA,CA,6,8753788,66.1,55.5
2016,COLORADO,CO,8,1338870,52.7,48.4
2016,CONNECTICUT,CT,9,897572,57.1,54.0
2016,DELAWARE,DE,10,235603,56.0,54.2
2016,DISTRICT OF COLUMBIA,DC,11,282830,95.7,90.0
2016,FLORIDA,FL,12,4504975,49.4,46.9
2016,GEORGIA,GA,13,1877963,47.3,48.4
2016,HAWAII,HI,15,266891,67.4,59.7
2016,IDAHO,ID,16,189765,31.7,33.6
2016,ILLINOIS,IL,17,3090729,59.0,54.7
2016,INDIANA,IN,18,1033126,39.9,42.8
2016,IOWA,IA,19,653669,44.9,49.6
2016,KANSAS,KS,20,427005,38.9,40.5
2016,KENTUCKY,KY,21,628854,34.3,42.9
2016,LOUISIANA,LA,22,780154,39.8,44.8
