state,state_po,state_fips,democratic_pct_ave_1976_2024,candidatevotes_1976,democratic_pct_1976,candidatevotes_1980,democratic_pct_1980,candidatevotes_1984,democratic_pct_1984,candidatevotes_1988,democratic_pct_1988,candidatevotes_1992,democratic_pct_1992,candidatevotes_1996,democratic_pct_1996,candidatevotes_2000,democratic_pct_2000,candidatevotes_2004,democratic_pct_2004,candidatevotes_2008,democratic_pct_2008,candidatevotes_2012,democratic_pct_2012,candidatevotes_2016,democratic_pct_2016,candidatevotes_2020,democratic_pct_2020,candidatevotes_2024,democratic_pct_2024
ALABAMA,AL,1,41.7,659170,56.7,636730,49.3,551899,38.7,549506,40.3,690080,46.2,662165,46.3,692611,42.4,693933,37.1,813479,39.1,795696,38.8,729547,35.6,849624,37.1,772412,34.6
ALASKA,AK,2,38.7,44058,38.1,41842,32.7,62007,30.9,72584,37.8,78294,43.4,80380,39.6,79004,32.1,111025,36.8,123594,38.9,122640,42.7,116454,41.6,153778,44.7,140026,43.2
ARIZONA,AZ,4,44.1,295602,41.4,246843,31.8,333854,32.9,454029,39.3,543050,48.7,653288,51.2,685341,46.7,893524,44.7,1034707,45.7,1025232,45.4,1161167,48.1,1672143,50.2,1582860,47.2
ARKANSAS,AR,5,45.5,498604,65,398041,49.7,338646,38.8,349237,42.8,505823,60,475171,59.4,422768,47.2,469953,45.1,422310,39.8,394409,37.8,380494,35.7,423932,35.8,396905,34.3
CALIFORNIA,CA,6,55.5,3742284,49.1,3082943,40.5,3922519,41.8,4702233,48.2,5121325,58.5,5119835,57.2,5861203,56.2,6745485,55,8274473,62.3,7854285,61.9,8753788,66.1,11110250,64.9,9276179,60.4
COLORADO,CO,8,48.4,460801,44.1,368009,36.1,454975,35.6,621453,46,629681,52.8,671152,49.2,738227,45.5,1001732,47.6,1288576,54.6,1323101,52.7,1338870,52.7,1804352,56.9,1728159,55.6
CONNECTICUT,CT,9,54,647895,47.4,541732,44.4,569597,39,676584,47.4,682318,54.1,735740,60.4,816015,59.3,857488,55.3,997772,61.3,905083,58.8,897572,57.1,1080831,60.2,992053,57.4
DELAWARE,DE,10,54.2,122461,52.7,105754,48.7,101656,40,108647,43.8,126054,55.2,140355,58.6,180068,56.7,200152,53.8,255459,62.6,242584,59.4,235603,56,296268,59.6,289758,57.5
DISTRICT OF COLUMBIA,DC,11,90,137818,83.2,130231,84.8,180408,86.1,159407,85.2,192619,90.3,158220,90.1,171923,90.5,202970,90.5,245800,93.4,267070,92.6,282830,95.7,317323,94.5,294185,93.3
FLORIDA,FL,12,46.9,1636000,52.7,1419475,40.9,1448816,34.7,1656701,38.7,2071698,48.8,2546870,53.2,2912253,50,3583544,47.5,4282074,51.4,4237756,50.4,4504975,49.4,5297045,48.3,4683038,43.4
GEORGIA,GA,13,48.4,979409,66.9,890955,57.7,706628,39.8,714792,39.8,1008966,50.3,1053849,49.4,1116230,44,1366149,41.6,1844123,47.4,1773827,46,1877963,47.3,2473633,50.1,2548017,48.9
HAWAII,HI,15,59.7,147375,51.3,135879,51.1,147154,44.3,192364,54.8,179310,56.7,205012,64.3,205286,59.8,231708,54.4,325871,73,306658,71.7,266891,67.4,366130,65,313044,61.8
IDAHO,ID,16,33.6,126549,38.3,110192,27.5,108510,26.7,147272,36.7,137013,40.3,165443,39.2,138637,29.2,181098,30.7,236440,37,212787,33.6,189765,31.7,287021,34.1,274972,31.2
ILLINOIS,IL,17,54.7,2271295,49,1981413,45.7,2086499,43.5,2215940,49,2453350,58.6,2341744,59.6,2589026,56.2,2891550,55.2,3419348,62.7,3019512,58.6,3090729,59,3471915,58.7,3062863,55.6
INDIANA,IN,18,42.8,1014714,46.2,844197,40.2,841481,37.9,860643,39.9,848420,46.2,887424,46.9,901980,42,969011,39.6,1374039,50.5,1152887,44.8,1033126,39.9,1242416,41.8,1163603,40.3
IOWA,IA,19,49.6,619931,49.5,508672,42.9,605620,46.3,670557,55.1,586353,53.7,620258,55.7,638517,50.2,741898,49.7,828940,54.8,822544,53,653669,44.9,759061,45.8,707278,43.3
KANSAS,KS,20,40.5,430421,46.1,326150,36.5,333149,33,422636,43.3,390434,46.5,387659,39.9,399276,39.1,434993,37.1,514765,42.4,440726,38.9,427005,38.9,570323,42.5,544853,41.8
